ID,Latin_Name,Common_Name,Plant_Type,Bloom_Time,Size_at_Maturity,Suitable_Site_Conditions,Soil_Type,Water_Needs,Appropriate_Location,Additional_Characteristices_Notes,Humidity_Level_Min,Humidity_Level_Max,Temperature_Level_Min,Temperature_Level_Max,Water_Level_Min,Water_Level_Max,Light_Level_Min,Light_Level_Max
0,Acacia baileyana 'Purpurea',Purple-Leaf Acacia,Tree (evergreen),Spring,> 24 ft,Sun,,Low,Sidewalk,"Fast grower, high maintenance.",17,64,17,30,100,350,500,800
1,Acer buergeranum,Trident Maple,Tree (deciduous),Spring,13-24 ft,Sun;Part Shade,,Low,Sidewalk,"Prefers heat, wind protection.",7,65,15,26,100,350,350,800
2,Acer macrophyllum,Bigleaf Maple,Tree (deciduous),Spring,> 24 ft,Sun;Shade,Clay;Loam;Sand;Rock,Moderate,Garden,Provides shelter for wildlife,28,85,17,25,350,600,0,750
3,Acer negundo,Box Elder,Tree (deciduous),Spring,> 24 ft,Sun;Shade,Clay;Loam;Sand;Rock,Moderate,Garden,Withstands wind.,6,77,19,40,350,600,0,750
4,Acer rubrum,Red Maple,Tree (deciduous),Spring,> 24 ft,Sun;Part Shade,Clay;Loam;Sand,Moderate,Sidewalk,"Prefers heat, wind protection",1,62,18,33,350,600,350,800
5,Achillea millefolium,Yarrow,Perennial,Spring;Summer,1-3 ft,Sun;Part Shade,Clay;Loam;Sand;Rock,None,Garden;Sidewalk;Roof,"Recommended.  Travels by runners, self sowing, and can go anywhere.",14,74,18,35,0,0,350,800
6,Acmispon glaber,Deerweed,Perennial,Spring;Summer,1-3 ft,Sun,Clay;Loam;Sand;Rock,None,Garden;Roof,"Practical and attractive plant. Attracts Black-tailed jackrabbit, Grey Hairstreak (Strymon melinus), and Green Hairstreak (Callophrys viridis) butterflies. Grows in disturbed soil.",16,67,18,28,0,0,500,800
7,Aesculus californica,California Buckeye,Tree (deciduous),Summer,13-24 ft,Sun;Part Shade,Clay;Loam;Sand;Rock,None,Garden,Recommended where there is space (ie: Palou Phelps park).  Attracts Western Tiger Swallowtail (Papilio rutulus) butterfly.,7,75,11,38,0,0,350,800
8,Aesculus x carnea,Red Horsechestnut,Tree (deciduous),,> 24 ft,Sun;Part Shade,,Low,Sidewalk,gets windburn easily in summer even in protected sites.,9,60,15,39,100,350,350,800
9,Agonis flexuosa,Peppermint Tree,Tree (evergreen),Summer,> 24 ft,Sun,Clay;Loam,None,Sidewalk,Fast grower that requires extra tree care.,8,89,20,29,0,0,500,800
10,Agonis flexuosa  'After Dark',After Dark Peppermint Tree,Tree (evergreen),,> 24 ft,Sun,,None,Sidewalk,‘After Dark’ is a fast grower that requires extra tree care.,12,52,13,24,100,350,500,800
11,Alcea rosea,Hollyhock,Perennial,Summer,7-12 ft,Sun,Loam;Sand,Low,Garden,Attracts West Coast Painted Lady (Vanessa annabella) butterfly.,18,82,14,36,100,350,500,800
12,Alnus rhombifolia,White Alder,Tree (deciduous),Fall,> 24 ft,Sun;Shade,Clay;Loam;Sand;Rock,Moderate,Garden,Streamside plant.,27,82,10,20,350,600,0,750
13,Amelanchier spp.,Western Service Berry,Shrub (deciduous),Summer,4-6 ft,Sun;Part Shade,Clay;Loam;Rock,Low,Garden,,4,54,20,21,100,350,350,800
14,Amsinckia spectabilis,Coast Fiddleneck,Perennial,Spring,1-3 ft,Sun,Clay;Loam;Sand;Rock,None,Garden;Roof,Easy to grow from seed. Attracts Painted Lady (Vanessa cardui) butterfly.,13,90,9,29,0,0,500,800
15,Anaphalis margaritacea,Pearly Everlasting,Perennial,Summer,1-3 ft,Sun,Clay;Loam;Sand;Rock,None,Garden;Roof,"Recommended root runner plant (also gumplant, goldenrod, dudleya). Attracts American Lady (Vanessa virginensis) and Painted Lady (Vanessa cardui) butterflies.",23,65,15,39,0,0,500,800
16,Angelica hendersonii,Coast Angelica,Perennial,Summer,1-3 ft,Sun;Part Shade,Clay;Loam;Sand,None,Garden,"Recommended. Big robust leaves, but not weedy. Attracts Anise swallowtail (Papilio zelicaon) butterfly.",5,100,20,27,0,0,350,800
17,Aquilegia formosa,Western Columbine,Perennial,Spring,< 1 ft,Sun;Part Shade,Clay;Loam;Rock,Low,Garden;Roof,Attracts Anna's Hummingbird.,5,85,10,29,100,350,350,800
18,Arbutus menziesii,Madrone,Tree (evergreen),Spring,> 24 ft,Sun;Shade,Clay;Loam;Rock,Low,Garden,Peeling red bark.,8,63,9,22,100,350,0,750
19,Arbutus x 'Marina',Marina Strawberry Tree,Tree (evergreen),Fall;Winter,13-24 ft,Sun,,Low,Sidewalk,Fruit drop can range from low volume to significant.,19,95,19,24,100,350,500,800
20,Aristolochia californica,Dutchman's Pipevine,Vine,Spring;Winter,> 24 ft,Sun;Part Shade,Clay;Loam,Low,Garden,Slow grower. Attracts Pipe Vine Swallowtail (Battus philenor).,14,93,16,37,100,350,350,800
21,Armeria maritima var. californica,Sea Thrift,Perennial,Summer,1-3 ft,Sun,Loam;Rock;Sand,None,Garden;Sidewalk;Roof,"Not recommended for east side planting (strictly sand dune plant), may need additional moisture in a garden environment. Attracts Green Hairstreak (Callophrys viridis).",1,66,17,33,350,600,500,800
22,Artemisia californica,California Sagebrush,Shrub (evergreen),Summer,4-6 ft,Sun;Part Shade,Clay;Loam;Sand;Rock,None,Garden;Sidewalk;Roof,Resilient and good visual. Attracts Nutall's White-Crowned Sparrow (Zonotrichia leucophrys nuttalli).,0,94,15,24,100,350,350,800
23,Artemisia pycnocephala,Dune Sagewort,Shrub (evergreen),Summer,4-6 ft,Sun;Part Shade,Clay;Loam;Sand;Rock,None,Garden;Sidewalk;Roof,"Excellent visually, but limited to coastal sand dunes.",17,58,13,32,0,0,350,800
24,Asarum caudatum,Wild Ginger,Perennial,Spring,< 1 ft,Part Shade;Shade,Clay;Loam,Moderate,Sidewalk;Garden,,22,68,20,37,350,600,0,350
25,Asclepias fascicularis,Narrowleaf Milkweed,Perennial,Summer,1-3 ft,Sun;Part Shade,Clay;Loam;Sand;Rock,Low,Sidewalk;Garden,"Spreads easily, and may need confinement. Keep away from children/pets. Speciosa may be preferable. Attracts Monarch butterfly (Danaus plexippus).",24,53,15,37,100,350,350,800
26,Cirsium occidentale var. occidentale,Cobweb Thistle,Perennial,Summer,1-3 ft,Sun,Clay;Loam,Low,Garden,"Very temperamental plant. Attracts Mylitta Crescent (Phyciodes mylitta), California Crescent (Phyciodes orseis), and Painted Lady (Vanessa cardui) butterflies.",9,92,14,39,100,350,500,800
27,Baccharis pilularis,Coyotebrush,Shrub (evergreen),Fall,7-12 ft,Sun;Part Shade,Clay;Loam;Sand;Rock,None,Sidewalk;Garden,"Amazing for wildlife. Attracts Western fence lizard, Nutall's White-crowned Sparrow, Gray Hairstreak (Strymon melinus), and Common Buckeye (Junonia coeni).",3,58,14,35,0,0,350,800
28,Berberis pinnata,Coast Barberry,Shrub (evergreen),Spring,4-6 ft,Part Shade,Clay,Low,Garden,Attracts Cedar Waxwing (Bombycilla cedrorum) bird.,9,77,14,38,100,350,100,350
29,Bolboschoenus robustus,Alkali Bulrush / Sturdy Bulrush,Perennial,Summer,4-6 ft,Sun;Part Shade,Clay;Loam;Sand,Moderate,Garden,,21,78,19,21,350,600,350,800
30,Brahea edulis,Guadalupe Palm,Tree (evergreen),,> 24 ft,Sun,,Low,Sidewalk,Very slow growing in San Francisco.,30,50,17,23,100,350,500,800
31,Bromus carinatus ,California Brome,Grass,Winter,4-6 ft,Sun,Clay;Loam;Sand;Rock,None,Garden,Attracts Umber Skipper butterfly.,4,97,19,28,0,0,500,800
32,Bromus laevipes,Woodland Brome,Grass,Summer,4-6 ft,Shade,Clay;Loam;Sand;Rock,None,Garden,Needs to be planted with other grasses.,2,58,14,37,0,0,0,100
33,Calamagrostis nutkaensis,Pacific Reedgrass,Grass,Spring,4-6 ft,Sun;Part Shade,Clay,Low,Sidewalk;Garden,"Needs fog and moisture, and tolerates wind well.",17,99,19,36,100,350,350,800
34,Callistemon citrinus,Lemon Bottlebrush,Tree (evergreen),Spring;Summer,13-24 ft,Sun,,Low,Sidewalk,"Grows low, and wide canopy and needs a wide sidewalk, sticky flowers.",7,53,19,36,100,350,500,800
35,Callistemon viminalis,Weeping Bottlebrush,Tree (evergreen),Spring;Summer,> 24 ft,Sun;Part Shade,,Low,Sidewalk,Has sticky flowers.,2,81,16,29,100,350,350,800
36,Calycanthus occidentalis,Spice Bush,Shrub (evergreen),Summer,7-12 ft,Sun;Shade,Clay;Loam;Sand,Low,Garden,,24,71,20,33,100,350,0,750
37,Calystegia soldanella,Beach Morning Glory,Perennial,Spring,1-3 ft,Sun,Sand,None,Garden,"Needs dunes and shifting sand, most likely by ocean beach.",0,54,15,22,0,0,500,800
38,Carex pansa,Pacific Dune Sedge,Perennial,Spring,< 1 ft,Sun,Sand,Moderate,Garden;Roof,"Practical plant that is a dry grower and needs sand dunes. Can form a tight, tough mat.",0,54,17,37,350,600,500,800
39,Carex praegracilis,Clustered Field Sedge,Perennial,Summer,1-3 ft,Sun,Clay;Loam;Sand;Rock,Moderate,Garden;Roof,"Suitable lawn alternative, and can tolerate standing water.",7,96,20,26,350,600,500,800
40,Castilleja ambigua,Salt Marsh Owl’s-clover,Annual,Summer,< 1 ft,Sun,Clay;Loam;Sand,Moderate,Garden,"Hemiparasitic (Need root system of other plants for moisture and minerals) - favor composite family such as artemisia, sagebrush, coyotebush, pearly everlasting). Attracts Chalcedon Checkerspot (Euphydryas chalcedona) butterfly.",10,55,12,39,350,600,500,800
41,Cirsium quercetorum,Brownie Thistle,Perennial,Summer,1-3 ft,Sun;Part Shade,Clay;Loam,Low,Garden,"Short plant that spreads well by runners. Attracts Mylitta Crescent (Phyciodes mylitta), California Crescent (Phyciodes orseis), and Painted Lady (Vanessa cardui) butterflies.",23,73,13,34,100,350,350,800
42,Castilleja latifolia,Monterey Indian Paintbrush,Perennial,Spring;Summer,< 1 ft,Sun,Clay;Loam;Sand,Low,Garden;Roof,"Hemiparasitic (Need root system of other plants for moisture and minerals) - favor composite family such as artemisia, sagebrush, coyotebush, pearly everlasting). Attracts Chalcedon Checkerspot (Euphydryas chalcedona) butterfly.",19,53,19,40,100,350,500,800
43,Castilleja subinclusa ssp. franciscana,Franciscan Paintbrush,Perennial,Summer,1-3 ft,Sun,Clay;Rock,Low,Garden,"Hemiparasitic (Need root system of other plants for moisture and minerals) - favor composite family such as artemisia, sagebrush, coyotebush, pearly everlasting). Attracts Chalcedon Checkerspot (Euphydryas chalcedona) butterfly.",8,75,11,23,100,350,500,800
44,Claytonia perfoliata,Miner's Lettuce,Annual,Spring;Winter,< 1 ft,Part Shade,Clay;Loam;Sand,Low,Garden,Prolific plant. Attracts Mourning Doves and California Quail.,6,81,15,39,100,350,100,350
45,Castilleja wightii,Wight's Paintbrush,Perennial,Summer,1-3 ft,Sun,Clay;Loam;Sand,Low,Garden,"Hemiparasitic (Need root system of other plants for moisture and minerals) - favor composite family such as artemisia, sagebrush, coyotebush, pearly everlasting). Attracts Chalcedon Checkerspot (Euphydryas chalcedona) butterfly.",27,81,9,39,100,350,500,800
46,Ceanothus 'Ray Hartman',Ray Hartman Ceanothus,Tree (evergreen),Spring,13-24 ft,Sun,Sand;Loam,None,Sidewalk,,9,89,18,36,0,0,500,800
47,Ceanothus thyrsiflorus ,Blueblossom,Shrub (evergreen),Spring,1-3 ft,Sun,Clay;Loam,None,Sidewalk;Garden,"Fragrant flowers. Attracts Cedar Waxwing bird and Echo Blue (Celestrina ladon echo), California Tortoiseshell (Nymphalis californica) butterflies.",19,55,9,21,0,0,500,800
48,Celtis sinensis,Chinese Hackberry,Tree (deciduous),Spring,> 24 ft,Sun,,Low,Sidewalk,"Prefers heat, wind protection, uneven performer.",10,52,17,39,100,350,500,800
49,Cercis occidentalis,Redbud,Tree (deciduous),Spring,13-24 ft,Sun;Part Shade,Clay;Loam;Sand;Rock,None,Garden,,18,54,14,23,0,0,350,800
50,Chlorogalum pomeridianum,Soap Plant,Perennial,Summer,1-3 ft,Sun;Part Shade,Clay;Loam;Sand,Low,Garden,Tough plant that is easy to grow. Flowers only open in evening or very overcast weather.,26,66,20,29,100,350,350,800
51,Cirsium brevistylum,Indian Thistle,Perennial,Spring;Summer,4-6 ft,Sun;Part Shade,Clay;Loam;Rock,None,Garden,"Attracts Mylitta Crescent (Phyciodes mylitta), California Crescent (Phyciodes orseis), and Painted Lady (Vanessa cardui) butterflies.",17,82,19,38,0,0,350,800
52,Cirsium occidentale var. californicum,California Thistle,Perennial,Summer,7-12 ft,Sun;Part Shade,Clay;Loam;Sand;Rock,None,Garden;Roof,"Attracts Mylitta Crescent (Phyciodes mylitta), California Crescent (Phyciodes orseis), and Painted Lady (Vanessa cardui) butterflies.",20,73,12,38,0,0,350,800
53,Cirsium occidentale var. candidissimum,Snowy Thistle,Perennial,Summer,7-12 ft,Sun;Part Shade,Clay;Loam;Sand;Rock,None,Garden,"Attracts Mylitta Crescent (Phyciodes mylitta), California Crescent (Phyciodes orseis), and Painted Lady (Vanessa cardui) butterflies.",20,87,14,28,0,0,350,800
54,Cirsium occidentale var. compactum,Compact Cobweb Thistle,Perennial,Spring,4-6 ft,Sun;Part Shade,Clay;Loam;Sand;Rock,None,Garden;Roof,"Rare: CNPS 1B.2 . Attracts Mylitta Crescent (Phyciodes mylitta), California Crescent (Phyciodes orseis), and Painted Lady (Vanessa cardui) butterflies.",16,60,9,24,0,0,350,800
55,Clarkia davyi,Davy's Clarkia,Annual,Summer,4-6 ft,Sun;Part Shade,Clay;Loam;Sand,Low,Garden,,15,71,18,21,100,350,350,800
